,mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
21679,gdb_21680,c1c(noc(=O)n1)N,5.85037,1.67806,1.30589,6.682,56.42,-0.2575,-0.1022,0.1553,837.7801,0.072494,-430.71064,-430.704101,-430.703157,-430.74176,23.9,-1122.465508876,-1128.138190236,-1134.063757723,-1047.483830957
22046,gdb_22047,CC(=NO)C(C)(C)C=O,2.44371,1.14539,1.00625,2.0965,79.36,-0.2447,-0.0359,0.2087,1287.0638,0.166121,-440.263564,-440.252688,-440.251743,-440.299749,38.953,-1861.76272719,-1872.71275924,-1883.974035754,-1727.964630701
23825,gdb_23826,FC1=NC(=N)ON=N1,4.18438,2.03316,1.36831,1.1866,49.62,-0.2958,-0.1308,0.1649,765.7073,0.047305,-470.744654,-470.738604,-470.73766,-470.775727,21.294,-898.645598756,-902.84739902,-907.586974497,-836.784506518
24416,gdb_24417,c1c[nH]c2c1CCOC2,3.4907,1.51102,1.09379,1.9277,78.36,-0.1959,0.0444,0.2403,1080.0443,0.151585,-401.98944,-401.982263,-401.981319,-402.020902,28.737,-1826.7659227511,-1838.260632613,-1848.336544626,-1703.631086699
25664,gdb_25665,CC#Cc1ncc(o1)N,5.71367,0.78943,0.69715,2.74,87.64,-0.1931,-0.0138,0.1794,1579.3116,0.112377,-416.818044,-416.809109,-416.808165,-416.853902,31.155,-1570.951838757,-1578.677102056,-1586.974026054,-1470.3238680081
26579,gdb_26580,CC1=C(N)C(=N)OC=C1,2.36225,1.83611,1.04072,2.4752,83.33,-0.1826,-0.0242,0.1584,1112.3478,0.137086,-418.052405,-418.04407,-418.043126,-418.085091,32.139,-1717.672855592,-1727.551729779,-1737.034645787,-1601.683464523
27243,gdb_27244,Cc1c2c(c[nH]1)NCC2,3.10707,1.50257,1.03966,1.5401,84.21,-0.1661,0.0502,0.2163,1154.1878,0.162282,-382.106828,-382.098549,-382.097605,-382.139664,31.717,-1888.157010748,-1899.8487584361,-1910.517666454,-1759.146807929
28015,gdb_28016,Cc1cc(c[nH]1)CC#C,3.77197,0.93428,0.8008,2.5492,85.55,-0.1973,0.0434,0.2407,1445.7749,0.146981,-364.822563,-364.813324,-364.81238,-364.857471,34.025,-1858.7249561211,-1868.9263699341,-1879.002281947,-1738.008539755
29480,gdb_29481,Cc1c[nH]c2c1[nH]cc2,3.204,1.63759,1.09103,0.1477,82.59,-0.1687,0.0393,0.208,1075.8164,0.138803,-380.924769,-380.916886,-380.915941,-380.956733,30.638,-1774.2559696311,-1784.419105395,-1793.901393894,-1658.069540736
30534,gdb_30535,c1c(nc(o1)N=CN)O,6.97915,0.84515,0.75393,4.4816,75.51,-0.1899,-0.0213,0.1686,1407.7823,0.101326,-470.045309,-470.036901,-470.035956,-470.078824,30.151,-1428.282647535,-1435.448800315,-1443.152100799,-1332.305773494
31447,gdb_31448,CCc1cc(c[nH]1)C#C,5.15306,0.84794,0.77163,3.0037,90.8,-0.1983,0.0186,0.2169,1498.3161,0.147607,-364.830705,-364.821693,-364.820749,-364.864789,33.831,-1863.8341343991,-1874.1779927551,-1884.253904768,-1742.6006506171
32416,gdb_32417,CCc1c[nH]c(c1O)C,2.882,1.22536,0.92616,1.6254,83.9,-0.1796,0.0515,0.2311,1319.8172,0.170059,-403.193933,-403.183805,-403.18286,-403.228925,36.726,-1954.7445007741,-1966.1645370651,-1977.425813579,-1820.45380972
33987,gdb_33988,N#CC12NC1CC21CO1,2.41504,1.73131,1.21128,3.9628,71.39,-0.261,0.0012,0.2622,1013.9539,0.1127,-416.744174,-416.736676,-416.735732,-416.776264,28.458,-1524.597748927,-1533.224742659,-1541.521666657,-1421.605324266
34952,gdb_34953,N#CC1C2NC3C2OC13,3.66151,1.55575,1.34786,4.6618,68.17,-0.2505,0.0285,0.2791,927.3704,0.115342,-416.75071,-416.744422,-416.743478,-416.781438,25.324,-1528.699147751,-1538.085427373,-1546.382351371,-1424.852055832
35813,gdb_35814,N#CC1CCN2CCC12,2.85975,1.48392,1.14688,3.1718,78.7,-0.2276,0.0342,0.2618,1092.1384,0.162544,-382.074136,-382.066482,-382.065538,-382.106581,29.648,-1867.64248652,-1879.726427333,-1890.395335351,-1738.386927682
36229,gdb_36230,C#CCC1=CCOCC1,3.68765,0.97462,0.85358,0.7957,83.69,-0.2426,0.0163,0.259,1374.3771,0.159077,-385.863248,-385.854548,-385.853604,-385.897035,32.897,-1896.1834783671,-1907.6116722751,-1918.280580293,-1768.1302267731
37330,gdb_37331,C1C2C1C1CC2C2CC12,3.11017,1.79427,1.71867,0.1401,83.37,-0.2498,0.0967,0.3465,920.0119,0.187677,-349.92902,-349.92285,-349.921906,-349.958938,28.375,-2073.789233164,-2088.5827578391,-2100.437657867,-1930.193211149
38758,gdb_38759,C1C2NCC3OC1C2O3,2.43404,2.33956,1.8427,1.8338,69.2,-0.2165,0.0712,0.2877,839.944,0.151939,-439.070992,-439.064761,-439.063817,-439.101291,26.473,-1741.264683956,-1753.352389823,-1763.428301836,-1617.144031265
39813,gdb_39814,C1CC11C2CCCC1O2,2.83774,1.49165,1.48331,1.6139,81.13,-0.2353,0.0798,0.315,1040.2793,0.185002,-387.066843,-387.059296,-387.058352,-387.098535,30.955,-2023.5985533081,-2037.5273705811,-2049.382270609,-1880.8597085871
40869,gdb_40870,C1OCC11C2C3C1CN23,4.06952,1.40328,1.30093,1.3678,73.92,-0.2413,0.0746,0.316,1002.9435,0.14911,-401.847525,-401.840602,-401.839658,-401.879163,27.397,-1737.7129830161,-1749.3670801641,-1759.442992177,-1614.688588548
41792,gdb_41793,C1CC2CC=CCC1O2,2.23449,1.9842,1.48454,1.167,81.95,-0.2321,0.0231,0.2552,1001.585,0.186471,-387.114858,-387.107368,-387.106424,-387.146871,30.23,-2053.7283979431,-2067.6929832291,-2079.547883257,-1911.190983611
42822,gdb_42823,O=C1C2CC3(CO3)C1O2,3.13836,1.52135,1.34333,3.0423,64.98,-0.2552,-0.0249,0.2303,963.1951,0.112366,-457.718026,-457.711094,-457.71015,-457.749517,26.978,-1532.3889006711,-1541.371064497,-1549.667988495,-1429.1247646131
43733,gdb_43734,N=C1CC2(CCOC2)O1,4.45166,1.06773,1.0313,2.5821,73.2,-0.2541,0.0253,0.2794,1199.5037,0.148786,-439.090819,-439.083017,-439.082073,-439.124055,29.644,-1753.7063048991,-1764.808194127,-1774.88410614,-1631.428646141
44690,gdb_44691,N=C1CC2NC(=O)C2O1,3.27237,1.41688,1.19123,4.1017,66.86,-0.2507,0.0076,0.2583,1024.2778,0.114463,-453.980574,-453.973359,-453.972415,-454.012824,27.287,-1536.265023764,-1545.068975034,-1553.365899032,-1433.116976871
45300,gdb_45301,N=C1CC2CC=CC2O1,3.67287,1.3787,1.15958,3.4648,77.52,-0.2508,0.0047,0.2555,1075.6784,0.150857,-401.98786,-401.980734,-401.97979,-402.019799,28.194,-1825.7744585311,-1837.301171352,-1847.377083365,-1702.938944272
46258,gdb_46259,O=C1CCC11CN2CC12,3.01375,1.49221,1.22698,2.2128,75.65,-0.2254,-0.0316,0.1938,1054.183,0.147699,-401.904397,-401.896609,-401.895665,-401.937452,29.802,-1773.4006748641,-1784.511976727,-1794.58788874,-1651.2654606491
47665,gdb_47666,C1COC(=O)NCC=C1,2.29354,1.77854,1.21372,3.3748,73.27,-0.2492,-0.0062,0.2429,1051.3433,0.150284,-439.121805,-439.113976,-439.113032,-439.154163,30.276,-1773.150298773,-1784.235245258,-1794.311157271,-1650.321687113
48076,gdb_48077,O=CC(=O)C12CCC1O2,2.74285,1.47911,1.05651,2.1475,68.16,-0.2563,-0.1024,0.1539,1093.5566,0.110265,-457.733539,-457.725387,-457.724443,-457.767409,29.098,-1542.1234477881,-1550.3400506341,-1558.636974632,-1440.352155641
49045,gdb_49046,N=C1OC2COC12C=O,2.19474,1.85891,1.34055,3.4415,63.51,-0.2646,-0.0554,0.2092,964.4233,0.099484,-473.785639,-473.777924,-473.77698,-473.818788,27.517,-1426.2124953441,-1433.81413937,-1441.518067363,-1330.366143175
50231,gdb_50232,O=CC1CC2C3OC3C12,2.87614,1.76939,1.41404,3.498,71.0,-0.2411,-0.012,0.2291,938.6559,0.135321,-421.767739,-421.760397,-421.759453,-421.799841,28.271,-1699.9174884371,-1710.42010657,-1719.903022578,-1583.9218222781
51600,gdb_51601,N=COC1CC1OC=O,2.36917,1.13408,0.82744,6.2694,68.77,-0.2737,0.0042,0.2779,1348.4353,0.121923,-475.007645,-474.998599,-474.997655,-475.042837,31.113,-1565.1806384841,-1573.7241735191,-1582.614093522,-1457.2453254301
52677,gdb_52678,CC#CC(C)C1CC1C,1.8827,1.16039,0.84482,0.357,94.44,-0.2398,0.0615,0.3014,1522.7447,0.203325,-351.126112,-351.114949,-351.114005,-351.164118,39.637,-2197.123617078,-2210.5610948041,-2223.601986842,-2045.231926083
53901,gdb_53902,CC(=O)C(C#C)C1CO1,1.92659,1.59773,1.11589,1.9403,73.88,-0.2493,-0.023,0.2262,1150.9681,0.131997,-421.780963,-421.771306,-421.770362,-421.816117,34.182,-1708.2156674531,-1717.265602251,-1726.748518259,-1594.135158762
54164,gdb_54165,CC1(NC1C#C)C(N)=O,3.20546,1.10429,0.97444,3.7391,76.87,-0.2479,0.0019,0.2498,1238.1024,0.134121,-417.988535,-417.978898,-417.977954,-418.022863,35.434,-1677.5938557621,-1686.6557132311,-1696.138629239,-1562.634834471
55228,gdb_55229,CC(=O)C1COC(=O)O1,3.1445,1.2753,1.02011,3.2579,61.29,-0.2704,-0.044,0.2264,1133.0895,0.11147,-494.967816,-494.959465,-494.958521,-495.002331,28.961,-1552.4585210181,-1560.549622064,-1568.8465460621,-1450.8359485041
56322,gdb_56323,CC(=O)NCCOC=N,3.15277,0.8761,0.71085,4.6037,75.12,-0.2315,0.0046,0.2361,1559.7673,0.158337,-456.383652,-456.373469,-456.372525,-456.421066,34.853,-1788.514856638,-1799.010572172,-1809.67948019,-1661.865342677
57730,gdb_57731,CC(C)(C=O)OCC=O,3.7558,0.74824,0.72518,1.2105,72.9,-0.2592,-0.0359,0.2233,1589.293,0.152758,-460.170347,-460.159289,-460.158344,-460.209685,37.13,-1815.5391592321,-1825.4864319,-1836.154712409,-1690.457162753
58117,gdb_58118,CC(C)C(C)(O)CC#N,2.92076,1.01101,0.91331,4.8902,82.43,-0.2814,0.0284,0.3098,1388.3715,0.191054,-404.375075,-404.364149,-404.363205,-404.410543,40.492,-2068.070116138,-2080.7665057351,-2093.214401768,-1920.7071575961
59306,gdb_59307,CC(C)C1OC(=N)C1C,2.63909,1.20381,0.91089,2.7381,83.91,-0.257,0.0311,0.2881,1358.0334,0.192892,-404.365838,-404.355786,-404.354842,-404.400813,37.212,-2062.2738155051,-2075.5186479681,-2087.966544001,-1914.6014950261
60729,gdb_60730,CC(C=O)C(=O)C1CO1,2.28338,1.17778,1.02491,3.3837,70.54,-0.2511,-0.0554,0.1957,1244.5293,0.132482,-458.959183,-458.949622,-458.948678,-458.995038,32.826,-1683.3744686701,-1692.484016823,-1701.966932831,-1569.4778201161
61005,gdb_61006,OC(C=O)C1CC1C=O,3.86032,0.89534,0.81263,3.6417,71.22,-0.2423,-0.0529,0.1894,1381.9605,0.133309,-458.96243,-458.953342,-458.952398,-458.997121,32.495,-1685.4119903931,-1694.818350303,-1704.301266311,-1570.784921363
62055,gdb_62056,OC(CCC1CC1)C#N,4.10122,0.657,0.59059,3.5093,80.4,-0.2833,0.0128,0.296,1851.7339,0.169905,-403.145368,-403.135493,-403.134549,-403.181259,35.53,-1924.2695261891,-1935.848322257,-1947.11022628,-1790.542965726
63820,gdb_63821,CC1(O)CC2C3CC3C12,3.0718,1.45565,1.29966,1.1253,81.04,-0.2331,0.0772,0.3103,1072.1467,0.182389,-387.034064,-387.02591,-387.024966,-387.065975,33.769,-2003.0294357971,-2016.577355107,-2028.432255135,-1860.428015547
64241,gdb_64242,CC1(O)CCC1CC=O,2.97906,0.9259,0.85766,3.2571,79.88,-0.2456,-0.0179,0.2277,1434.5071,0.179728,-424.230341,-424.2204,-424.219456,-424.265664,36.664,-1989.5191670271,-2001.9451002451,-2013.800000273,-1848.8027838131
65591,gdb_65592,OC1(CC2CN2C1)C#N,3.58587,1.24939,1.21758,2.7023,72.14,-0.2443,0.0128,0.2572,1065.1996,0.137027,-417.995856,-417.988025,-417.987081,-418.027889,30.574,-1682.187849151,-1692.382987874,-1701.865903882,-1565.788694705
66370,gdb_66371,OC1(CCCNC1)C#N,2.26404,1.42101,1.33795,2.4739,74.8,-0.231,0.0133,0.2443,1089.1197,0.16114,-419.225936,-419.217407,-419.216463,-419.258683,33.118,-1826.222499957,-1837.756742886,-1848.425650904,-1696.9004251651
67694,gdb_67695,OC12C3CCC1C(=O)C23,2.29435,1.84623,1.44605,2.474,71.92,-0.2326,0.0006,0.2332,963.1772,0.136982,-421.824842,-421.817514,-421.81657,-421.856427,29.241,-1735.7501348641,-1746.2615381231,-1755.744454131,-1619.430046552
68658,gdb_68659,OC12CC(C1)(C2)OC=O,5.28185,0.88494,0.86691,3.819,70.15,-0.2736,-0.0007,0.2729,1324.6066,0.134554,-458.93215,-458.923778,-458.922834,-458.966361,31.077,-1666.4110178731,-1676.2666742271,-1685.7495902351,-1551.4827445231
69499,gdb_69500,CC12CN3CC3(C)C1O2,3.11634,1.51506,1.25312,2.3549,78.14,-0.2303,0.09,0.3202,1080.4467,0.170483,-403.123688,-403.115341,-403.114397,-403.155969,33.006,-1910.6651310691,-1923.2027608891,-1934.464664912,-1774.6732631161
70120,gdb_70121,CC12OC1C=CC2C=O,2.51056,1.56067,1.16333,3.1034,73.62,-0.2448,-0.0358,0.209,1076.3213,0.134452,-421.825692,-421.817469,-421.816525,-421.858838,30.725,-1736.2835175141,-1746.2333002181,-1755.716216226,-1620.9429707511
71697,gdb_71698,CC12CC3C4C1N2C34C,3.34749,1.54528,1.43132,1.5092,81.82,-0.2163,0.0811,0.2973,1023.1665,0.171581,-365.973744,-365.966008,-365.965064,-366.005304,31.531,-1953.2497743361,-1966.1714396641,-1977.433343687,-1817.0614960661
72267,gdb_72268,CC12OC3COC1CC23,2.73262,1.89223,1.67654,2.1274,73.74,-0.2235,0.077,0.3005,915.9437,0.160782,-422.993603,-422.986563,-422.985619,-423.024519,29.227,-1841.3065612991,-1853.7757926381,-1864.444700656,-1711.195707694
73203,gdb_73204,CC12CCC1CC=CC2,2.32101,1.67261,1.37514,0.221,89.22,-0.2361,0.0259,0.262,1095.7134,0.207536,-351.168173,-351.159727,-351.158782,-351.201046,34.058,-2223.5172731271,-2238.6596928061,-2251.699957335,-2068.4045784351
74671,gdb_74672,CC1=CC2C3OCC1C23,2.91421,1.80566,1.444,1.4581,79.32,-0.2083,0.0202,0.2285,968.7479,0.161483,-385.887121,-385.880047,-385.879103,-385.918275,29.04,-1911.164000724,-1923.6125242661,-1934.281432284,-1781.4585179331
75214,gdb_75215,CC1=CCC2(O)CCC12,2.60585,1.49674,1.20368,1.1232,83.94,-0.2269,0.0313,0.2581,1135.2121,0.182515,-387.100732,-387.091999,-387.091055,-387.133914,34.219,-2044.864205809,-2058.0487974081,-2069.903697436,-1903.0603494981
76494,gdb_76495,OC1C(O)C11CC(O)C1,3.23304,1.00173,0.95647,3.0465,72.29,-0.2312,0.0507,0.2819,1298.2149,0.157628,-460.115791,-460.106648,-460.105704,-460.149612,34.928,-1781.3047782281,-1792.4537306311,-1803.122638649,-1652.760814596
77307,gdb_77308,CC1C(CC=C1C)C#C,2.84707,1.20091,0.91309,0.8793,91.19,-0.2319,0.0272,0.2591,1331.3379,0.181246,-349.948359,-349.93881,-349.937866,-349.982406,36.47,-2085.924629715,-2098.5978014791,-2110.452701507,-1944.9195923611
78656,gdb_78657,CC12C3C(O)C(C1O)N23,2.50698,1.73288,1.40164,2.0037,70.85,-0.2539,0.0471,0.301,992.033,0.148072,-439.03154,-439.023589,-439.022645,-439.063494,31.487,-1716.5081988881,-1727.5165892751,-1737.5925012881,-1593.426073592
79882,gdb_79883,CC1C2N3CCC3C12O,2.33198,1.71505,1.36157,2.6577,78.55,-0.2056,0.0662,0.2718,1046.6882,0.171044,-403.061837,-403.053506,-403.052561,-403.094192,32.941,-1871.8530719101,-1884.4007418741,-1895.662018388,-1735.9076396231
80083,gdb_80084,CC1C2N1C=NCC2=O,2.5198,1.60763,1.08076,2.6585,74.97,-0.231,-0.0332,0.1978,1112.5353,0.136239,-418.008317,-418.00027,-417.999326,-418.041478,29.94,-1690.0072388,-1700.066835579,-1709.549751587,-1574.315914506
81741,gdb_81742,CC1C2CC2(C#C)C1C,2.97675,1.23008,1.04337,0.8919,90.62,-0.2283,0.0428,0.2711,1246.3593,0.180821,-349.904037,-349.89459,-349.893646,-349.937637,36.622,-2058.1121758171,-2070.8493534991,-2082.704253527,-1916.8266419401
82635,gdb_82636,CC12C3OC(C1O)C23O,2.38767,1.76152,1.35335,2.2147,67.32,-0.2315,0.0615,0.293,991.7472,0.134745,-458.890026,-458.88192,-458.880976,-458.922212,31.63,-1639.9778287571,-1650.000402505,-1659.483318513,-1523.778849682
83010,gdb_83011,OC1C2OC3COC3C12,2.64266,1.94287,1.64616,2.5639,66.05,-0.2326,0.0508,0.2834,880.5229,0.137791,-458.914004,-458.907219,-458.906275,-458.945077,27.497,-1655.0242395591,-1665.875752696,-1675.358668704,-1538.126842967
84021,gdb_84022,OC1C2COCCC12O,2.17409,1.61914,1.40036,2.0084,70.73,-0.2415,0.0608,0.3023,1036.8144,0.15994,-460.138008,-460.129704,-460.12876,-460.170302,32.828,-1795.2461456811,-1806.921578135,-1817.5904861531,-1665.743975806
85957,gdb_85958,CC1CC(C)(O1)C(N)=O,2.91161,1.1804,1.07043,2.6994,75.23,-0.2303,0.0347,0.265,1234.8346,0.169229,-440.3219,-440.312084,-440.31114,-440.356774,36.441,-1898.3690922141,-1909.9842838041,-1921.2461878271,-1763.748331426
86030,gdb_86031,CC1CC(C)(CC#N)C1,3.23531,0.93335,0.86698,4.0619,86.48,-0.2953,0.0333,0.3286,1448.4323,0.193237,-367.234037,-367.224227,-367.223283,-367.268766,36.884,-2116.2433545591,-2129.6406717091,-2142.088567742,-1968.6726905381
87657,gdb_87658,OC1CC11NC(=N)C1O,2.73798,1.29973,1.12177,3.3982,71.24,-0.2323,0.0199,0.2522,1132.4434,0.134529,-455.10122,-455.092149,-455.091205,-455.135212,33.472,-1611.6288546641,-1621.0452547181,-1630.5281707261,-1496.2029666771
88191,gdb_88192,OC1CC11OCCC=C1,3.30428,1.2806,1.10697,2.603,79.21,-0.2257,0.016,0.2417,1150.7524,0.159656,-423.011764,-423.003621,-423.002677,-423.044274,32.151,-1852.7027522481,-1864.4798411601,-1875.148749178,-1723.592147989
89354,gdb_89355,CC12CC(C(O)C1)C2=O,2.65348,1.49875,1.23391,2.93,75.35,-0.2342,-0.003,0.2312,1078.5989,0.159184,-423.035678,-423.027255,-423.026311,-423.068286,32.68,-1867.7090024741,-1879.3103888661,-1889.9792968841,-1738.6598940971
90605,gdb_90606,NC1CN2C1C(O)C2=N,2.41386,1.50936,1.17375,4.2009,73.8,-0.2235,-0.0006,0.2229,1100.7717,0.148575,-435.206058,-435.197501,-435.196557,-435.239476,32.301,-1665.144704711,-1675.772197135,-1685.848109148,-1542.621062425
91879,gdb_91880,CC1CC2OC2C(=O)C1,2.338,1.58998,1.07399,3.1773,75.51,-0.2436,-0.0261,0.2175,1148.7111,0.159849,-423.046047,-423.037918,-423.036974,-423.078743,31.394,-1874.2156432951,-1886.001517333,-1896.670425351,-1745.22175571
92887,gdb_92888,CC1CC=CC(C)=CC1,2.95648,1.1543,0.88554,0.4006,95.96,-0.2068,-0.0124,0.1944,1406.8583,0.206571,-351.183016,-351.173667,-351.172723,-351.216936,36.171,-2232.8313892141,-2247.4071682661,-2260.448060304,-2078.375696445
93563,gdb_93564,CC1CNC(=N1)C(N)=O,3.55856,1.10181,0.8811,1.7979,74.92,-0.2224,-0.0268,0.1956,1311.996,0.149111,-435.326563,-435.317638,-435.316693,-435.360377,33.053,-1740.7626767561,-1751.159245868,-1761.234530372,-1618.487528034
94678,gdb_94679,CC1CCC2(O)CC12C,2.34933,1.58347,1.1606,1.1418,85.1,-0.2478,0.0795,0.3273,1172.6303,0.20549,-388.304176,-388.294777,-388.293833,-388.337317,37.387,-2172.184526891,-2186.7283029841,-2199.769195022,-2016.983980939
95178,gdb_95179,CC1COC2CC2C1=O,2.15534,1.83774,1.30089,1.8934,75.35,-0.2372,-0.0194,0.2177,1043.1385,0.159938,-423.035109,-423.026984,-423.02604,-423.06772,31.454,-1867.351949853,-1879.1403339271,-1889.809241945,-1738.304724003
96080,gdb_96081,CC1OCCC2(C)CC12,2.56724,1.47543,1.10042,1.2088,85.75,-0.2425,0.0847,0.3272,1211.4616,0.206619,-388.298114,-388.289209,-388.288265,-388.331078,35.436,-2168.380567333,-2183.2343328721,-2196.27522491,-2013.068952288
97438,gdb_97439,CN=COCC(O)C#N,2.65189,0.90219,0.8318,3.2526,72.12,-0.2688,0.006,0.2748,1462.9984,0.134027,-455.143139,-455.133205,-455.13226,-455.178964,34.218,-1637.9334044351,-1646.808264222,-1656.290552721,-1523.657740445
98317,gdb_98318,CN=CN(C)C(=O)OC,4.22835,0.83626,0.70744,1.5769,80.3,-0.2374,0.0057,0.2431,1608.3434,0.157276,-456.387477,-456.376835,-456.375891,-456.423833,35.818,-1790.915078563,-1801.1227674661,-1811.7916754841,-1663.60166008
99531,gdb_99532,CC(C#N)C(CN)C#N,2.25102,1.21567,0.83842,6.5906,76.6,-0.2627,0.0106,0.2733,1355.345,0.147182,-398.150224,-398.140084,-398.139139,-398.185777,35.521,-1766.784219968,-1776.4189931541,-1786.494277658,-1645.856333069
